Date,Open,High,Low,Close,Volume,Adj Close
2016-07-06,2.145,2.152,2.135,2.148,191919900,2.148
2016-07-05,2.155,2.164,2.134,2.148,325129500,2.148
2016-07-04,2.103,2.161,2.101,2.153,397136000,2.153
2016-07-01,2.137,2.148,2.112,2.116,333412400,2.116
2016-06-30,2.122,2.142,2.116,2.132,303606100,2.132
2016-06-29,2.137,2.149,2.115,2.121,337275600,2.121
2016-06-28,2.095,2.132,2.085,2.128,517155700,2.128
2016-06-27,2.03,2.109,2.025,2.109,549211100,2.109
2016-06-24,2.047,2.07,1.979,2.043,649808200,2.043
2016-06-23,2.055,2.066,2.032,2.051,385356200,2.051
2016-06-22,1.998,2.06,1.998,2.055,426631700,2.055
2016-06-21,2.045,2.065,1.999,2.007,381856500,2.007
2016-06-20,2.033,2.042,1.997,2.03,329248800,2.03
2016-06-17,2.02,2.065,2.015,2.034,431703700,2.034
2016-06-16,2.034,2.047,2.005,2.009,344765100,2.009
2016-06-15,1.951,2.057,1.95,2.04,517433000,2.04
2016-06-14,1.958,1.98,1.947,1.967,392535300,1.967
2016-06-13,2.065,2.072,1.967,1.967,437677700,1.967
2016-06-08,2.091,2.106,2.072,2.092,313899600,2.092
2016-06-07,2.10,2.109,2.084,2.098,273196400,2.098
2016-06-06,2.109,2.119,2.087,2.102,306337700,2.102
2016-06-02,2.065,2.09,2.06,2.088,305693500,2.088
2016-06-01,2.067,2.086,2.056,2.067,422559300,2.067
2016-05-31,1.956,2.07,1.956,2.069,527262700,2.069
2016-05-30,1.964,1.983,1.934,1.959,248189600,1.959
2016-05-27,1.975,1.989,1.963,1.968,319370500,1.968
2016-05-26,1.959,1.986,1.92,1.985,462103300,1.985
2016-05-25,1.998,2.01,1.961,1.965,298224200,1.965
2016-05-24,1.988,2.00,1.96,1.975,334792700,1.975
2016-05-23,1.967,2.004,1.967,1.992,358026500,1.992
2016-05-20,1.929,1.965,1.911,1.961,371879700,1.961
2016-05-19,1.921,1.972,1.92,1.938,309264800,1.938
2016-05-18,1.962,1.963,1.902,1.921,325050700,1.921
2016-05-17,1.954,2.002,1.932,1.977,456761800,1.977
2016-05-16,1.914,1.955,1.907,1.953,314301500,1.953
2016-05-13,1.925,1.954,1.91,1.92,292520000,1.92
2016-05-12,1.909,1.936,1.879,1.932,322081500,1.932
2016-05-11,1.963,1.97,1.93,1.93,364915900,1.93
2016-05-10,1.95,1.966,1.941,1.95,333978300,1.95
2016-05-09,2.002,2.002,1.948,1.955,444574100,1.955
2016-05-06,2.119,2.127,2.018,2.018,631179100,2.018
2016-05-05,2.098,2.119,2.091,2.116,396182700,2.116
2016-05-04,2.105,2.124,2.096,2.102,406783100,2.102
2016-05-03,2.036,2.112,2.018,2.112,574673700,2.112
2016-04-29,2.036,2.057,2.03,2.033,246514800,2.033
2016-04-28,2.041,2.054,2.004,2.048,304585800,2.048
2016-04-27,2.058,2.068,2.036,2.041,319701100,2.041
2016-04-26,2.016,2.055,2.013,2.054,317010500,2.054
2016-04-25,2.027,2.027,1.98,2.023,298027000,2.023
2016-04-22,1.989,2.038,1.983,2.038,364460200,2.038
2016-04-21,2.03,2.053,1.998,2.003,463000500,2.003
2016-04-20,2.168,2.173,2.012,2.03,769553400,2.03
2016-04-19,2.17,2.178,2.142,2.161,471287200,2.161
2016-04-15,2.214,2.217,2.189,2.195,339535300,2.195
2016-04-14,2.197,2.217,2.181,2.212,558526800,2.212
2016-04-13,2.17,2.221,2.17,2.177,586152800,2.177
2016-04-12,2.17,2.179,2.129,2.162,484606000,2.162
2016-04-11,2.148,2.193,2.145,2.17,479740500,2.17
2016-04-08,2.121,2.131,2.084,2.125,475933500,2.125
2016-04-07,2.199,2.205,2.139,2.145,466840300,2.145
2016-04-06,2.168,2.193,2.16,2.181,604214700,2.181
2016-04-05,2.093,2.175,2.092,2.168,679026000,2.168
2016-04-01,2.109,2.116,2.06,2.097,573062400,2.097
2016-03-31,2.14,2.158,2.118,2.119,515302100,2.119
2016-03-30,2.058,2.135,2.05,2.134,562706400,2.134
2016-03-29,2.072,2.081,2.01,2.039,543819100,2.039
2016-03-28,2.117,2.143,2.071,2.073,550709600,2.073
2016-03-25,2.092,2.117,2.067,2.099,618115500,2.099
2016-03-24,2.122,2.16,2.093,2.10,728205800,2.10
2016-03-23,2.10,2.152,2.091,2.148,724549500,2.148
2016-03-22,2.09,2.135,2.082,2.099,673078300,2.099
2016-03-21,2.10,2.12,2.08,2.116,643854300,2.116
2016-03-18,2.015,2.095,1.992,2.076,1022792100,2.076
2016-03-17,1.88,1.991,1.879,1.991,1120405900,1.991
2016-03-16,1.927,1.934,1.863,1.878,575916300,1.878
2016-03-15,1.917,1.932,1.889,1.891,513304500,1.891
2016-03-14,1.86,1.948,1.858,1.925,653986000,1.925
2016-03-11,1.80,1.846,1.80,1.834,402236800,1.834
2016-03-10,1.865,1.889,1.833,1.835,502145800,1.835
2016-03-09,1.852,1.911,1.832,1.848,579879600,1.848
2016-03-08,1.847,1.895,1.761,1.888,758368400,1.888
2016-03-07,1.84,1.893,1.832,1.853,620523800,1.853
2016-03-04,1.89,1.90,1.795,1.81,632874700,1.81
2016-03-03,1.907,1.959,1.901,1.902,607392000,1.902
2016-03-02,1.823,1.918,1.813,1.912,572737800,1.912
2016-03-01,1.776,1.844,1.736,1.824,471912400,1.824
2016-02-29,1.886,1.897,1.755,1.77,458813700,1.77
2016-02-26,1.93,1.947,1.872,1.902,594337800,1.902
2016-02-25,2.094,2.095,1.888,1.896,833419900,1.896
2016-02-24,2.102,2.124,2.049,2.097,407063200,2.097
2016-02-23,2.14,2.145,2.088,2.117,399319100,2.117
2016-02-22,2.134,2.142,2.108,2.142,431431300,2.142
2016-02-19,2.081,2.123,2.079,2.106,569471800,2.106
2016-02-18,2.126,2.135,2.085,2.09,421481300,2.09
2016-02-17,2.099,2.116,2.07,2.109,434546300,2.109
2016-02-16,2.022,2.106,2.022,2.099,425079500,2.099
2016-02-15,1.933,2.027,1.921,2.017,416772500,2.017
2016-02-05,2.029,2.037,1.997,1.999,461543200,1.999
2016-02-04,1.997,2.036,1.991,2.024,566915100,2.024
2016-02-03,1.949,2.005,1.924,1.988,288567300,1.988
2016-02-02,1.897,1.986,1.894,1.972,304571200,1.972
2016-02-01,1.875,1.902,1.85,1.895,248121100,1.895
2016-01-29,1.807,1.905,1.801,1.879,291176500,1.879
2016-01-28,1.869,1.883,1.799,1.808,262948600,1.808
2016-01-27,1.899,1.907,1.794,1.887,430385900,1.887
2016-01-26,2.01,2.024,1.845,1.888,404445800,1.888
2016-01-25,2.055,2.07,2.02,2.04,179524900,2.04
2016-01-22,2.027,2.047,1.971,2.042,314738900,2.042
2016-01-21,2.059,2.126,2.006,2.006,287312500,2.006
2016-01-20,2.102,2.129,2.069,2.085,313166100,2.085
2016-01-19,2.05,2.129,2.03,2.126,352749400,2.126
2016-01-18,1.966,2.097,1.964,2.07,291285700,2.07
2016-01-15,2.041,2.07,1.98,1.997,257490300,1.997
2016-01-14,1.904,2.079,1.885,2.072,221844700,2.072
2016-01-13,2.048,2.057,1.936,1.964,205516600,1.964
2016-01-12,2.011,2.067,1.979,2.036,260903500,2.036
2016-01-11,2.067,2.109,1.99,1.999,464373100,1.999
2016-01-08,2.17,2.19,2.03,2.125,417490100,2.125
2016-01-07,2.272,2.28,2.09,2.096,120379800,2.096
2016-01-06,2.291,2.33,2.25,2.321,341799100,2.321
2016-01-05,2.24,2.336,2.20,2.275,386728900,2.275
2016-01-04,2.531,2.538,2.301,2.306,187580000,2.306
2015-12-30,2.581,2.608,2.56,2.605,163122300,2.605
2015-12-29,2.547,2.584,2.539,2.58,186528400,2.58
2015-12-28,2.623,2.643,2.551,2.551,186599600,2.551
2015-12-24,2.597,2.633,2.565,2.624,249435900,2.624
2015-12-23,2.658,2.666,2.599,2.60,242433400,2.60
2015-12-22,2.675,2.679,2.637,2.656,179878900,2.656
2015-12-21,2.654,2.669,2.631,2.663,229700100,2.663
2015-12-18,2.67,2.675,2.63,2.668,211762100,2.668
2015-12-17,2.611,2.674,2.611,2.674,270735800,2.674
2015-12-16,2.588,2.625,2.576,2.593,253719800,2.593
2015-12-15,2.551,2.598,2.547,2.577,263600700,2.577
2015-12-14,2.489,2.555,2.463,2.555,250407500,2.555
2015-12-11,2.519,2.541,2.502,2.51,197036600,2.51
2015-12-10,2.514,2.566,2.501,2.526,272203200,2.526
2015-12-09,2.515,2.54,2.493,2.51,242762100,2.51
2015-12-08,2.556,2.571,2.516,2.531,241519300,2.531
2015-12-07,2.534,2.591,2.527,2.571,255282100,2.571
2015-12-04,2.54,2.585,2.512,2.53,257653600,2.53
2015-12-03,2.461,2.563,2.46,2.561,381240500,2.561
2015-12-02,2.494,2.511,2.384,2.454,319775300,2.454
2015-12-01,2.51,2.545,2.449,2.507,335153900,2.507
2015-11-30,2.505,2.538,2.369,2.52,520356300,2.52
2015-11-27,2.655,2.685,2.471,2.496,505639600,2.496
2015-11-26,2.748,2.754,2.672,2.674,329000400,2.674
2015-11-25,2.654,2.755,2.65,2.746,334548200,2.746
2015-11-24,2.61,2.665,2.593,2.663,283607300,2.663
2015-11-23,2.628,2.684,2.601,2.619,302255200,2.619
2015-11-20,2.624,2.666,2.606,2.645,321089600,2.645
